1	10
1	17
1	43
1	52
1	68
1	91
1	111
1	120
2	133
3	4
3	60
4	83
4	147
5	25
5	33
5	103
6	73
6	126
7	52
8	95
8	116
10	13
10	41
10	66
10	140
11	1
11	88
12	20
13	148
14	5
14	81
14	109
14	133
15	35
15	48
15	58
15	100
15	123
16	91
17	73
17	116
18	26
19	13
20	150
21	42
21	141
22	20
22	63
23	53
23	104
23	128
24	6
24	95
25	34
25	77
27	85
27	118
28	27
28	148
29	12
30	68
31	42
31	59
32	50
32	133
33	4
33	19
34	97
34	107
35	34
35	75
35	141
36	115
36	125
36	150
37	89
39	10
39	26
41	57
41	81
42	42
43	18
43	65
43	103
44	33
44	129
45	3
45	73
45	95
45	141
45	150
47	50
48	86
48	112
49	11
49	24
49	120
52	37
52	129
53	78
53	100
54	1
54	68
54	147
55	53
55	138
56	43
56	61
57	18
58	8
58	93
58	108
59	28
59	122
61	83
61	150
62	1
62	131
63	74
64	38
64	56
64	66
65	115
66	15
66	91
66	124
67	144
68	6
68	22
68	47
68	106
69	31
70	136
71	79
72	1
72	70
73	119
73	127
74	41
74	111
76	12
76	34
76	50
76	150
77	5
77	19
77	58
78	87
78	140
79	96
79	134
80	66
81	26
81	80
82	128
83	105
83	113
83	121
84	4
85	35
85	51
87	19
87	60
87	74
87	137
87	149
88	42
88	98
89	11
90	89
91	27
92	109
92	128
93	2
93	144
94	65
94	81
94	119
95	16
95	48
95	56
96	36
96	103
97	95
98	74
99	8
99	27
99	138
100	147
102	43
102	86
103	113
104	1
104	19
104	51
104	121
105	35
105	58
105	105
105	131
106	67
107	10
108	77
108	93
108	141
109	18
109	26
112	2
112	43
112	84
113	34
113	51
113	61
113	119
114	100
114	111
114	132
114	149
116	10
117	76
118	67
119	19
119	42
119	91
119	125
120	138
121	3
121	28
121	57
122	84
123	116
124	12
124	50
124	106
125	149
126	35
126	76
126	131
128	63
129	6
129	20
129	123
130	28
130	89
130	100
130	141
132	43
132	70
134	1
134	12
134	114
135	132
135	150
136	52
136	61
136	82
137	21
138	96
138	105
139	35
140	141
141	44
142	5
142	28
142	118
142	126
143	14
143	79
144	70
144	87
145	53
145	110
146	62
146	100
147	21
147	149
148	133
149	32
150	5
150	13
150	40
150	47
150	92
150	120
150	126
69	100
71	61
38	65
27	112
124	97
