14.75,36.75
32.25,25.75
19.25,16.75
62.25,22.75
46.25,35.75
43.75,16.75
61.25,8.25
77.75,17.75
81.75,6.75
77.75,31.75
98.75,33.75
113.75,34.25
116.25,14.75
96.75,21.25
127.25,30.75
133.25,15.25
149.25,24.25
152.25,10.25
170.25,18.25
183.75,28.75
168.75,32.25
188.75,40.75
171.75,47.75
181.25,57.75
164.25,63.75
152.75,51.75
149.25,38.75
133.25,41.75
136.75,58.25
121.25,51.75
110.25,63.25
126.75,74.75
141.25,85.75
151.75,75.75
158.75,89.25
174.75,82.25
182.25,98.25
170.25,107.25
175.25,119.25
180.25,135.25
180.75,147.75
175.25,158.75
158.25,151.25
160.25,139.75
156.75,118.25
140.75,128.25
129.75,114.75
121.75,107.25
139.75,101.25
123.75,92.75
103.75,97.25
109.25,80.25
90.75,86.75
87.25,99.75
93.75,74.25
88.25,64.75
84.75,47.25
72.25,56.25
66.25,44.25
51.75,53.25
63.75,65.75
55.25,81.25
66.75,92.75
35.75,73.25
37.75,58.25
18.75,66.75
15.75,51.75
32.25,44.25
21.75,82.75
23.75,93.75
13.25,104.75
25.75,111.25
46.75,118.25
41.75,101.75
53.75,104.75
68.75,104.25
68.25,118.75
79.25,130.75
89.25,119.75
107.25,110.75
116.75,122.25
101.75,125.25
98.25,138.25
116.75,142.75
140.75,143.75
129.25,134.25
132.25,156.75
149.75,162.25
158.75,178.75
134.25,168.75
126.75,180.25
108.75,172.25
107.25,160.75
94.25,151.25
69.25,139.25
52.25,148.75
36.75,147.75
41.25,161.75
24.75,136.25
19.25,153.25
11.25,166.25
12.25,126.25
48.75,131.25
35.75,124.75
56.25,172.75
62.75,160.25
79.25,165.25
94.25,179.25
71.75,184.75
31.75,174.75
26.75,184.75
105.25,186.75
148.75,189.25
177.75,175.25
72.75,79.25
103.25,49.75
155.25,102.75
8.25,185.75
77.25,150.75
