19.75,18.75
15.25,4.75
37.75,4.25
36.75,24.25
58.25,26.75
53.75,10.75
75.75,21.75
97.25,17.25
87.25,35.25
112.75,33.75
131.25,30.25
126.25,17.25
109.75,4.75
150.25,22.25
168.75,27.75
182.25,38.25
190.75,18.25
174.25,14.25
159.25,7.75
142.75,5.75
102.75,47.75
125.25,45.25
139.75,51.25
143.25,39.75
159.75,45.75
175.25,53.75
181.75,68.75
159.75,64.25
148.25,76.25
159.75,86.75
178.75,82.75
173.75,100.25
194.25,95.75
181.75,113.25
158.25,103.75
160.75,122.75
177.75,131.75
152.75,133.75
149.75,148.75
174.75,148.75
193.25,167.25
177.25,162.75
157.25,162.25
159.25,180.25
183.75,181.25
167.75,196.25
192.75,193.75
137.75,195.25
136.25,181.75
136.25,164.25
113.75,161.75
103.75,173.75
92.75,188.25
110.25,187.25
87.75,164.25
103.25,152.25
124.25,145.25
122.25,130.75
139.25,119.75
115.75,115.75
135.75,103.25
130.75,88.25
114.25,92.25
106.75,77.25
115.75,60.75
132.75,68.75
96.25,63.25
78.25,57.25
66.25,42.75
46.75,39.75
55.25,57.75
66.75,68.25
85.25,77.75
85.25,93.75
97.25,105.25
90.75,120.75
75.75,108.75
99.25,135.75
80.25,134.75
84.75,148.75
73.25,181.75
64.75,161.75
59.25,143.75
62.25,120.75
58.75,104.25
60.25,89.25
47.25,81.25
36.75,69.75
32.75,50.75
13.25,33.75
16.25,64.25
8.25,76.75
19.75,88.75
16.75,107.75
5.75,102.25
35.25,98.75
36.75,116.25
16.25,124.25
26.25,139.75
44.75,132.75
45.25,156.25
53.25,173.25
55.75,192.25
32.75,182.75
31.25,166.75
19.75,154.25
12.25,174.25
22.25,195.75
194.25,135.75
