26.25,88.75
26.75,67.25
45.25,66.25
25.25,47.75
35.75,30.75
59.25,39.75
61.75,60.25
68.75,85.75
58.75,100.75
47.75,111.75
30.25,113.75
12.75,117.75
8.25,167.25
37.25,164.25
65.75,180.25
68.25,166.75
83.75,154.75
99.75,150.25
95.25,131.25
69.75,138.25
59.75,124.75
80.25,117.75
88.75,97.25
106.75,112.25
104.75,91.75
121.25,103.25
93.25,74.25
93.25,56.75
83.25,37.25
106.25,32.25
90.75,14.75
116.25,44.75
121.25,65.75
136.25,55.75
138.75,38.25
136.25,12.25
157.25,8.75
178.25,13.25
196.25,7.25
193.75,30.75
185.25,52.25
168.25,58.75
158.75,72.25
130.75,81.75
145.75,95.25
146.75,112.25
134.25,121.75
124.75,136.25
125.75,150.75
144.75,145.75
159.25,131.75
163.75,109.25
180.75,98.25
178.75,81.75
197.25,67.25
215.25,81.25
206.25,97.25
203.75,114.75
203.25,135.25
186.25,126.25
220.25,148.75
231.75,131.75
233.25,92.75
233.25,69.75
234.75,52.25
228.25,39.25
220.75,23.75
169.75,145.25
170.75,168.25
192.75,175.75
204.75,160.75
214.25,173.75
232.25,187.75
223.75,210.25
205.25,217.75
170.25,219.25
168.25,190.25
188.25,191.25
145.25,201.25
127.25,188.25
146.25,170.25
117.25,168.25
92.25,184.75
98.25,168.25
106.75,188.75
101.75,207.25
87.25,217.75
76.75,195.75
61.75,205.75
65.75,225.25
41.25,228.75
24.75,199.75
45.25,192.75
58.25,15.75
117.75,225.25
121.25,207.75
141.75,221.75
187.75,236.25
208.25,235.75
234.75,230.25
30.25,213.25
